,3G,3G Speed,Additional Content,Audio Formats,Audio Jack,Battery Capacity,Battery Type,Bluetooth Support,Bluetooth Version,Browse Type,Browser,Business Phone,Call Divert,Call Log Memory,Call Records,Call Timer,Call Wait/Hold,Color,Conference Call,Cost,Covered in Warranty,DLNA Support,Depth,Digital Zoom,Display Colors,Display Size,Display Type,Domestic Warranty,Dual Battery,Dual Camera Lens,EDGE,EDGE Features,Expandable Storage,FM Radio,FM Radio Recording,Flash,Frame Rate,Full HD Recording,GPRS,GPRS Features,GPS Support,GPU,Games,Graphics PPI,HD Game Support,HD Recording,Hands Free,Height,Hot SWAP Support,Hybrid Sim Slot,Image Editor,Imgsrc,Important Apps,In The Box,Infrared,Instant Message,Internal Storage,International Warranty,Internet Connectivity,JAVA Support,Java Application,Keypad,Keypad Type,Logs,MMS,Map Support,Memory Card Slot Type,Micro USB Port,Micro USB Version,Mini HDMI Port,Mini USB Port,Mini USB Version,Mobile Tracker,Model Name,Model Number,Music Player,NFC,Name,Network Type,Not Covered in Warranty,OTG Compatible,Operating Frequency,Operating System,Optical Zoom,Other Display Features,Other Features,Phone Book,Phone Book Memory,Pre-installed Browser,Predictive Text Input,Primary Camera,Primary Camera Available,Primary Camera Features,Primary Clock Speed,Processor Core,Processor Type,Quick Charging,RAM,Removable Battery,Resolution,Resolution Type,Ringtones Format,SIM Access,SIM Size,SIM Type,SMS,SMS Memory,Secondary Camera,Secondary Camera Available,Secondary Camera Features,Secondary Clock Speed,Sensors,Series,Smartphone,Social Networking Phone,Sound Enhancements,Speaker Phone,Speed Dialing,Supported Languages,Supported Memory Card Type,Supported Networks,TV Out,Talk Time,Total Memory,Touchscreen,Touchscreen Type,USB Connectivity,USB Tethering,Upgradable Operating System,User Interface,User Memory,Video Call Support,Video Formats,Video Recording,Video Recording Resolution,Voice Input,WAP,WAP Version,Warranty Service Type,Warranty Summary,Weight,Wi-Fi,Wi-Fi Hotspot,Wi-Fi Version,Width,flipkart_link,reviewlink
0,Yes,HSPA+,,,3.5 mm,3000 mAh,,Yes,4.2,Smartphones,,,,,,,,Sterling Blue,,"24,999",,,7.99 mm,,,5.2 inch,LTPS IPS,,,Primary Camera,Yes,,2 TB,Yes,,Color Correlated Temperature (CCT) Dual LED Rear Flash and Front Selfie Flash,"2160p / 4K (30fps), 1080p (60fps), 720P (30fps), 480p 30 fps",Yes,,,Yes,Adreno 508 at 650 MHz,,424 PPI,,Yes,,148.35 mm,,Yes,,https://rukminim1.flixcart.com/image/704/704/jbxyxzk0/mobile/5/n/a/motorola-moto-x4-na-original-imaff6hyh7ssyn3n.jpeg?q=70,,"Handset, User Manual, Headset, 15W Turbo Charger and USB Cable",,,64 GB,,"4G, 3G, Wi-Fi, EDGE",,,,,,,Google Maps,Hybrid Slot,,,,,,,Moto X4,XT1900-2,,Yes,"Moto X4 (Sterling Blue, 64 GB)  (6 GB RAM)","4G, 3G, 2G",,Yes,"2G GSM - Bands (2 / 3 / 5 / 8), 3G WCDMA - Bands (1 / 2 / 4 / 5 / 8), 4G FDD LTE - Bands (1 / 3 / 4 / 5 / 7 / 8 / 20 / 28), TDD LTE - Bands (38 / 40 / 41)",Android Oreo 8.0,,LTPS IPS Corning Gorilla Glass,"Charging: 15 W TurboPower for 6 hrs of Power in 15 min, IP68 Water Resistant, 4G LTE (Cat. 6), USB Type-CTM Port, Moto Experiences: Moto Display, Moto Voice, Moto Actions, Moto Guard, Wireless Sound System, Moto Key, One Button Nav Learn More, Depth: 9.45 mm at Camera Bump",,,,,12MP + 8MP,Yes,"Dual Autofocus Pixel Sensor (f2.0, 1.4micrometer), 8 MP Ultra-wide Angle with 120Degree Field of View Sensor (f2.2, 1.12micrometer), Phase Detection AutoFocus (PDAF), Ultra-wide Angle Shot , Professional Mode, Depth Detection and Depth Effects, Selective Focus, Selective Black and White (Beta), Background Replacement (Beta), Spot Color, Landmark / Object Recognition, Scan Barcodes / QR Codes / Business Cards, Panorama, Slow-motion Video, Best Shot",2.2 GHz,Octa Core,Qualcomm Snapdragon 630,Yes,6 GB,No,1080 x 1920 Pixels,Full HD,,,Dual Nano SIM,Dual Sim,,,16MP,Yes,"f2.0, 1micrometer, Selfie Flash / Light 4 MP Adaptive Low Light Mode, Selfie, Panorama, Face, Filters, Beautification Mode, Professional Mode",,"Fingerprint Reader, Gravity, Proximity, Accelerometer, Ambient Light, Magnetometer, Gyroscope, Sensor Hub",,Yes,,"Front-ported Speaker, 3 Microphones",,,,microSD,"4G LTE, UMTS, WCDMA, GSM",,,,Yes,,Yes,,,,,,,Yes,2160p,,,,,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,163 g,Yes,Yes,"802.11a/b/g/n/ac, 2.4 GHz + 5 GHz",73.4 mm,https://www.flipkart.com/moto-x4-sterling-blue-64-gb/p/itmf222jxynthrpz?pid=MOBFF6GGHFUTG5NA&srno=s_3_1&otracker=search&lid=LSTMOBFF6GGHFUTG5NAVMCTUN&fm=organic&iid=d7d62c02-511e-47d0-b52d-94862c22d3a2.MOBFF6GGHFUTG5NA.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/moto-x4-sterling-blue-64-gb/product-reviews/itmf222jxynthrpz?pid=MOBFF6GGHFUTG5NA
1,No,,"Battery, charger",MP3,3.5 mm,1000 mAh,Lithium-ion,Yes,,Feature Phones,,,Yes,,,,Yes,"Black Grey, White blue",Yes,"1,089",,,,,,1.77 inch,,1 Year,,,,,16 GB,Yes,,,,,,,,,,,,,,,,No,,https://rukminim1.flixcart.com/image/704/704/jcf487k0/mobile/s/h/w/gfive-u220-combo-of-two-mobile-u220-original-imaffjuyx3pfhr2w.jpeg?q=70,,"2 Mobiles, 2 batteries, 2 charger",,,64 MB,,,,,Yes,Alphanumeric,,,,Dedicated Slot,,,,,,,U220+ Combo of Two Mobile,U220+,,,"Gfive U220+ Combo of Two Mobile  (Black Grey, White blue)",2G,,No,,0,,,,Yes,,,,0.3MP,Yes,,,,,,32 MB,Yes,128*160,,,,,Dual Sim,Yes,,,No,,,,,No,,,,,,,GSM,,,,No,,,,,,,,MP4,,,,,,"1 Year Manufacturer Warranty for which the customer can contact our customer care at: +9111-33549027, +919582750855 or mail us @ customercare.konnect@gmail.com",1 YEAR MANUFACTURER WARRANTY,,,,,,https://www.flipkart.com/gfive-u220-combo-two-mobile/p/itmffjuyyhuda2gf?pid=MOBFFDBWMF4HVSHW&srno=s_3_2&otracker=search&lid=LSTMOBFFDBWMF4HVSHWN5NNK8&fm=organic&iid=1855c4ef-74e4-4e8f-9c52-bbf55f0c57bd.MOBFFDBWMF4HVSHW.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/gfive-u220-combo-two-mobile/product-reviews/itmffjuyyhuda2gf?pid=MOBFFDBWMF4HVSHW
2,Yes,HSPA+,,,3.5 mm,3000 mAh,,Yes,4.2,Smartphones,,,,,,,,Super Black,,"24,999",,,7.99 mm,,,5.2 inch,LTPS IPS,,,Primary Camera,Yes,,2 TB,Yes,,Color Correlated Temperature (CCT) Dual LED Rear Flash and Front Selfie Flash,"2160p / 4K (30fps), 1080p (60fps), 720P (30fps), 480p 30 fps",Yes,,,Yes,Adreno 508 at 650 MHz,,424 PPI,,Yes,,148.35 mm,,Yes,,https://rukminim1.flixcart.com/image/704/704/jbxyxzk0/mobile/q/c/k/motorola-moto-x4-na-original-imaff6hymezhfxzg.jpeg?q=70,,"Handset, User Manual, Headset, 15W Turbo Charger and USB Cable",,,64 GB,,"4G, 3G, Wi-Fi, EDGE",,,,,,,Google Maps,Hybrid Slot,,,,,,,Moto X4,XT1900-2,,Yes,"Moto X4 (Super Black, 64 GB)  (6 GB RAM)","4G, 3G, 2G",,Yes,"2G GSM - Bands (2 / 3 / 5 / 8), 3G WCDMA - Bands (1 / 2 / 4 / 5 / 8), 4G FDD LTE - Bands (1 / 3 / 4 / 5 / 7 / 8 / 20 / 28), TDD LTE - Bands (38 / 40 / 41)",Android Oreo 8.0,,LTPS IPS Corning Gorilla Glass,"Charging: 15 W TurboPower for 6 hrs of Power in 15 min, IP68 Water Resistant, 4G LTE (Cat. 6), USB Type-CTM Port, Moto Experiences: Moto Display, Moto Voice, Moto Actions, Moto Guard, Wireless Sound System, Moto Key, One Button Nav Learn More, Depth: 9.45 mm at Camera Bump",,,,,12MP + 8MP,Yes,"Dual Autofocus Pixel Sensor (f2.0, 1.4micrometer), 8 MP Ultra-wide Angle with 120Degree Field of View Sensor (f2.2, 1.12micrometer), Phase Detection AutoFocus (PDAF), Ultra-wide Angle Shot , Professional Mode, Depth Detection and Depth Effects, Selective Focus, Selective Black and White (Beta), Background Replacement (Beta), Spot Color, Landmark / Object Recognition, Scan Barcodes / QR Codes / Business Cards, Panorama, Slow-motion Video, Best Shot",2.2 GHz,Octa Core,Qualcomm Snapdragon 630,Yes,6 GB,No,1080 x 1920 Pixels,Full HD,,,Dual Nano SIM,Dual Sim,,,16MP,Yes,"f2.0, 1micrometer, Selfie Flash / Light 4 MP Adaptive Low Light Mode, Selfie, Panorama, Face, Filters, Beautification Mode, Professional Mode",,"Fingerprint Reader, Gravity, Proximity, Accelerometer, Ambient Light, Magnetometer, Gyroscope, Sensor Hub",,Yes,,"Front-ported Speaker, 3 Microphones",,,,microSD,"4G LTE, UMTS, WCDMA, GSM",,,,Yes,,Yes,,,,,,,Yes,2160p,,,,,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,163 g,Yes,Yes,"802.11a/b/g/n/ac, 2.4 GHz + 5 GHz",73.4 mm,https://www.flipkart.com/moto-x4-super-black-64-gb/p/itmf222jxynthrpz?pid=MOBFF6GGPJYKGQCK&srno=s_3_3&otracker=search&lid=LSTMOBFF6GGPJYKGQCKSLSWFZ&fm=organic&iid=92fcf770-5c3c-46ea-9483-05478597bc38.MOBFF6GGPJYKGQCK.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/moto-x4-super-black-64-gb/product-reviews/itmf222jxynthrpz?pid=MOBFF6GGPJYKGQCK
3,Yes,,,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA",3.5 mm Stereo,3300 mAh,,Yes,4.2,Smartphones,,,,Yes,,,,Gold,,"14,900",,,8.1 mm,,16 M,5.7 inch,PLS TFT LCD,,,,,,256 GB,,,Yes,30 fps,Yes,,,Yes,,,,,Yes,,156.7 mm,,No,,https://rukminim1.flixcart.com/image/704/704/j48riq80-1/mobile/u/p/v/samsung-j7-max-sm-g615fzddins-original-imaev75bz4kda4re.jpeg?q=70,,"Handset, Adapter, Data Cable, Headset, Ejector Pin, User Manual",,,32 GB,,"4G, 3G, Wi-Fi",,,,,,,Google Maps,Dedicated Slot,Yes,,,,,,J7 Max,SM-G615FZDDINS,,,"Samsung J7 Max (Gold, 32 GB)  (4 GB RAM)","4G VOLTE, 2G, 3G",,Yes,"GSM - 850, 900, 1800, 1900 MHz, UMTS - B1 (2100), B2 (1900), B5 (850), B8 (900), 4G FDD LTE - B1 (2100), B3 (1800), B5 (850), B8 (900), B20 (800), 4G TDD LTE - B40 (2300)",Android Nougat 7,,,"Wi-Fi Direct, Gear Support: Gear Circle (Manager Support), Gear Fit, Gear Fit2, Gear1, Gear2, Gear2 Neo, Gear S, Gear S2, Gear S3, Gear IconX",Yes,,Android,,13MP,Yes,"CMOS, Auto Focus, F1.7",1.6 GHz,Octa Core,Mediatek�Octa-Core 1.69GHz,,4 GB,No,1920 x 1080 pixels,Full HD,,,Nano SIM (4FF),Dual Sim,,,13MP,Yes,"CMOS, F1.9",,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Light Sensor, Proximity Sensor",,Yes,,,,,,microSD,4G VoLTE,,,,Yes,,Yes,,,,,,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM",Yes,1920 x 1080,,,,,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,179 g,Yes,,802.11 a/b/g/n (2.4 + 5 GHz),78.8 mm,https://www.flipkart.com/samsung-j7-max-gold-32-gb/p/itmev5vtuf6gsneq?pid=MOBEV5VT4BQPJUPV&srno=s_3_4&otracker=search&lid=LSTMOBEV5VT4BQPJUPVV5TPKU&fm=organic&iid=7f4b07be-52e5-497e-9658-66f5b741aaa6.MOBEV5VT4BQPJUPV.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/samsung-j7-max-gold-32-gb/product-reviews/itmev5vtuf6gsneq?pid=MOBEV5VT4BQPJUPV
4,Yes,,,"AAC, AAC+, AAC+ Enhanced, WAV, MP3",,2500 mAh,,Yes,4.0,Smartphones,,,,Yes,,,,Brown,,"5,990",,,8.1 mm,Yes,,5.0 inch,IPS On Cell,,,,Yes,,128 GB,,,LED Flash,,,Yes,,Yes,,,,,,,145.7 mm,,No,,https://rukminim1.flixcart.com/image/704/704/jd3epow0/mobile/9/t/n/lg-k7i-x230i-original-imaf23ysgmpfffmy.jpeg?q=70,,"Handset, Charger, Battery, USB Cable, Normal Back Cover, Mosquito Away Back Cover, Quick Start Guide",,,16 GB,,"4G, 3G, EDGE, GPRS, Wi-Fi",,,,,,,Google Maps,Dedicated Slot,,,,,,,K7i,X230I,,,"LG K7i (Brown, 16 GB)  (2 GB RAM)","4G VOLTE, 3G, 2G",,No,"GSM - 850, 900, 1800, 1900, WCDMA - 900, 2100, 4G LTE - B3, B5, B40",Android Marshmallow 6,,Media Tech Display,Ultrasonic Mosquito Away Technology,Yes,,Google Chrome,,8MP,Yes,,1.14 GHz,Quad Core,,,2 GB,,854 x 480 Pixels,FWVGA,,,Nano SIM,Dual Sim,Yes,,5MP,Yes,Gesture Shot,,"Proximity, Accelerometer",,Yes,,,,,,microSD,"4G VoLTE, 4G LTE, GSM",,,,Yes,,Yes,,,,,,"H.264, H.263, MPEG-4",,,,,,,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,154 g,Yes,Yes,802.11 b/g/n,74.1 mm,https://www.flipkart.com/lg-k7i-brown-16-gb/p/itmffrxhdzuggarz?pid=MOBFFRXHZPWTN9TN&srno=s_3_5&otracker=search&lid=LSTMOBFFRXHZPWTN9TNYWYDAB&fm=organic&iid=5f34240d-c581-4235-a254-b1d756fce2f8.MOBFFRXHZPWTN9TN.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/lg-k7i-brown-16-gb/product-reviews/itmffrxhdzuggarz?pid=MOBFFRXHZPWTN9TN
5,No,,,MP3,3.5 mm,950 mAh,Li-Ion,Yes,,Feature Phones,,,Yes,,,,Yes,Black $$ Grey & Black $$ Red,Yes,"1,119",,,,,,1.8 inch,,1 Year,,,,,8 GB,Yes,,,,,Yes,,,,,,,,,,,No,,https://rukminim1.flixcart.com/image/704/704/jcuu2kw0/mobile/t/n/9/gfive-u229-combo-of-two-mobile-u229-original-imaffvzfjupt9xda.jpeg?q=70,,"Handset, Battery, Charger",,,64 MB,,,,,Yes,Alphanumeric,,,,Dedicated Slot,,,,,,,U229 Combo of Two Mobile,U229,,,Gfive U229 Combo of Two Mobile  (Black $$ Grey & Black $$ Red),2G,,No,"850, 900, 1800, 1900 MHz",0,,,,Yes,,,,0.3MP,Yes,,,,,,32 MB,Yes,128 x 160$$Pixels,Quarter QVGA,,,,Dual Sim,Yes,,,No,,,,,No,,,,,,,"GSM, GSM",,,,No,,,,,,,,MP4,,,,,,"1 Year Manufacturer warranty for which the customer can contact G'Five Customer care at +9111-33549027, +919582750855 or mail us @ customercare.konnect@gmail.com",1 Year Manufacturer Warranty,,,,,,https://www.flipkart.com/gfive-u229-combo-two-mobile/p/itmffvzfhsx8awbv?pid=MOBFFRW9GAFDYTN9&srno=s_3_6&otracker=search&lid=LSTMOBFFRW9GAFDYTN9MBBHEF&fm=organic&iid=fbc2f709-b709-4c86-8d65-7dcb775f10ee.MOBFFRW9GAFDYTN9.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/gfive-u229-combo-two-mobile/product-reviews/itmffvzfhsx8awbv?pid=MOBFFRW9GAFDYTN9
6,Yes,,,,3.5 mm,4000 mAh,,Yes,4.2,Smartphones,,,,,,,,Rose Gold,,"11,999",,,8.05 mm,,,5.99 inch,IPS (in-cell),,,,,,128 GB,,,Rear and Front Flash,,,,,Yes,Adreno 506,,403 PPI,,,,158.5 mm,,Yes,,https://rukminim1.flixcart.com/image/704/704/jdkjzww0/mobile/h/p/a/redmi-note-5-mzb5918in-original-imaf2g8zyhxc4bxy.jpeg?q=70,,"Handset, Power Adapter, USB Data Cable, Ultra Thin Case, Warranty Card, Getting Started Guide, Pin",,,64 GB,,"4G, 3G, Wi-Fi",,,,,,,Google Maps,Hybrid Slot,Yes,,,,,,Redmi Note 5,MZB5918IN,,,"Redmi Note 5 (Rose Gold, 64 GB)  (4 GB RAM)","4G VOLTE, 4G, 3G",,Yes,"GSM - B2, B3, B5, B8, WCDMA - B1, B2, B5, B8, 4G LTE TDD - B40, B41 (2535 - 2655 MHz), LTE FDD - B1, B3, B5",Android Nougat 7.1.2,,"Contrast Ratio: 1000:1, 2.5D Front Glass Panel, Corning Gorilla Glass","14 nm Architecture Processor, Internal Memory - eMMC v5.1, Body - Metal Back, IR Blaster, Charger - 5 V x 2 A",,,,,12MP,Yes,"f/2.2, 1.25 microns Pixel Size, 5P Lens, PDAF",2 GHz,Octa Core,Qualcomm Snapdragon 625,,4 GB,,2160 x 1080 Pixels,Full HD+,,,Nano SIM and Nano SIM,Dual Sim,,,5MP,Yes,"Aperture - f2.0, 1.12 microns Pixel Size",,"Fingerprint Scanner, Ambient Light Sensor, Proximity Sensor, E Compass, Accelerometer, Hall Sensor, Gyroscope",,Yes,,"Speaker - Single (Bottom Opening), Microphones - 2 (For Noise Cancellation)",,,,microSD,"4G VoLTE, UMTS, GSM, 4G LTE, WCDMA",,,,Yes,,Yes,,,,,,,,,,,,,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,180 g,Yes,,802.11 a/b/g/n,75.45 mm,https://www.flipkart.com/redmi-note-5-rose-gold-64-gb/p/itmf2fc3exkgs88b?pid=MOBF28FT2DXRDHPA&srno=s_3_7&otracker=search&lid=LSTMOBF28FT2DXRDHPAX1EIX0&fm=organic&iid=6f6ddf63-f610-4230-b985-aeb07b22902e.MOBF28FT2DXRDHPA.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/redmi-note-5-rose-gold-64-gb/product-reviews/itmf2fc3exkgs88b?pid=MOBF28FT2DXRDHPA
7,Yes,,,,3.5 mm,4000 mAh,,Yes,5,Smartphones,,,,,,,,Gold,,"13,999",,,8.05 mm,,,5.99 inch,IPS (in-cell),,,Primary Camera,,,128 GB,,,Rear and Front Flash,,,,,Yes,Adreno 509,,403 PPI,,,,158.58 mm,,Yes,,https://rukminim1.flixcart.com/image/704/704/jdkjzww0/mobile/y/q/m/redmi-note-5-pro-mzb6084in-original-imaf2g8zj6y5vkqn.jpeg?q=70,,"Handset, Power Adapter, USB Data Cable, Ultra Thin Case, Warranty Card, Getting Started Guide, Pin",,,64 GB,,"4G, 3G, Wi-Fi",,,,,,,Google Maps,Hybrid Slot,Yes,,,,,,Redmi Note 5 Pro,MZB6080IN / MZB6088IN,,,"Redmi Note 5 Pro (Gold, 64 GB)  (4 GB RAM)","4G VOLTE, 4G, 3G",,Yes,"GSM - B2, B3, B5, B8, WCDMA - B1, B2, B5, B8, 4G LTE TDD - B40, B41 (2535 - 2655 MHz), LTE FDD - B1, B3, B5",Android Nougat 7.1.2,,"Contrast Ratio: 1000:1 (min), 2.5D Glass, Corning Gorilla Glass","14 nm Architecture Processor, Internal Memory - eMMC v5.1, Body - Metal Back, IR Blaster, Charger - 5 V x 2 A",,,,,12MP + 5MP,Yes,"Primary Sensor - f/2.2, 1.25 microns Pixel Size, 5P Lens, Secondary Sensor - f/2.0, 1.12 microns Pixel Size, 4P Lens, PDAF",1.8 GHz,Octa Core,Qualcomm Snapdragon 636,,4 GB,,2160 x 1080 Pixels,Full HD+,,,Nano SIM and Nano SIM,Dual Sim,,,20MP,Yes,"Aperture - f/2.2, 1.0 microns Pixel Size",,"Fingerprint Scanner, Ambient Light Sensor, Proximity Sensor, E Compass, Accelerometer, Hall Sensor, Gyroscope",,Yes,,"Speaker - Single (Bottom Opening), Microphones - 2 (For Noise Cancellation)",,,,microSD,"4G VoLTE, UMTS, GSM, 4G LTE, WCDMA",,,,Yes,,Yes,,,,,,,,,,,,,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,181 g,Yes,,802.11 a/b/g/n/ac,75.35 mm,https://www.flipkart.com/redmi-note-5-pro-gold-64-gb/p/itmf2fc3txmqwdkb?pid=MOBF28FTHZYYGXFY&srno=s_3_8&otracker=search&lid=LSTMOBF28FTHZYYGXFYRE2WTC&fm=organic&iid=36cab50e-53df-4f92-ab8a-5f1b2d55d0b9.MOBF28FTHZYYGXFY.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/redmi-note-5-pro-gold-64-gb/product-reviews/itmf2fc3txmqwdkb?pid=MOBF28FTHZYYGXFY
8,Yes,,,MP3,3.5 mm,3000 mAh,,,,Smartphones,,,,Yes,,,,Matte Black,,"16,999",,,7.85 mm,,,5.5 inch,,,,,,,128 GB,,,Dual Tone Flash,,,,,,,,403 ppi,,,,154 mm,,Yes,,https://rukminim1.flixcart.com/image/704/704/jefzonk0/mobile/a/j/n/nokia-6-ta-1021-4gb-original-imaf2gkvnqagsqsh.jpeg?q=70,Camera App,"Headset, Charger, Charging / Data Cable, Headset, Quick Guide SIM Door Key",,,64 GB,,"4G, 3G, Wi-Fi",,,,,,,,,Yes,,,,,,6,TA-1021 4GB,,Yes,"Nokia 6 (Matte Black, 64 GB)  (4 GB RAM)","4G, 2G, 3G",,Yes,,Android Nougat 7.1.1,,"Sculpted Corning Gorilla Glass, Brightness 450 nits Laminated, Sunlight Readability","Google Drive, 4G LTE Cat 4, 150 Mbps DL / 50 Mbps UL",Yes,,,,16MP,Yes,"PDAF, 1.0 micrometer, f/2",1.4 GHz,Octa Core,Qualcomm Snapdragon 430,,4 GB,No,1920 x 1080 pixels,Full HD,,,,Dual Sim,Yes,,8MP,,"Autofocus, 1.12 micrometer, f/2, FOV 84Degrees",,"Accelerometer (G-sensor), Ambient Light Sensor,	E-compass, Hall Sensor, Fingerprint Sensor, Gyroscope, Proximity Sensor",,Yes,,"Dual speakers, Smart Amplifier (TFA9891) with Dolby Atmos",,,,microSD,4G LTE,,,,Yes,,Yes,,,,,,,Yes,,,,,,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,Yes,,,75.8 mm,https://www.flipkart.com/nokia-6-matte-black-64-gb/p/itmf2kypjkdarycd?pid=MOBFFSS9MFGKCAJN&srno=s_3_9&otracker=search&lid=LSTMOBFFSS9MFGKCAJNGNI5KV&fm=organic&iid=d5e3fe6d-6b17-4a56-a6a8-12f37140842a.MOBFFSS9MFGKCAJN.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/nokia-6-matte-black-64-gb/product-reviews/itmf2kypjkdarycd?pid=MOBFFSS9MFGKCAJN
9,Yes,,,"WAV, AAX, AAX+, AAC, VBR, MP3, AIFF, HE-AAC",3.5 mm,,Li-Ion,Yes,4.2,Smartphones,,,,Yes,,,,Space Grey,,"18,999",,,7.6 mm,,,4 inch,,,,,Yes,,,,,True Tone Flash,,Yes,Yes,,Yes,,,326 PPI,,Yes,,123.8 mm,,No,,https://rukminim1.flixcart.com/image/704/704/j7qi9ow0/mobile/e/z/g/apple-iphone-se-mp822hn-a-original-imaexw6fyuqa9fpm.jpeg?q=70,"Health, FaceTime, Wallet, iTunes Store, App Store, iBooks, Game Center, Weather, Voice Memos, Stocks, Podcasts, Tips, iMovie, Pages, Keynote, Numbers, iTunes U, Garage Band, Remote, Music Memos, Find My iPhone, Find My Friends","Handset, Apple EarPods with Remote and Mic, Lightning to USB Cable, USB Power Adapter, Documentation",,,32 GB,,"4G, 3G, Wi-Fi, GPRS, EDGE",,,,,,,,,,,,,,,iPhone SE,MP822HN/A,,Yes,"Apple iPhone SE (Space Grey, 32 GB)","4G, 3G, 2G",,No,"GSM - 850, 900, 1800, 1900; UMTS - 850, 900, 1700, 1900, 2100; 4G LTE (TD) - Band 38 / 39 / 40 / 41",iOS 10,,"LED-backlit Wide Screen Multi-touch Display, 500 cd/m2 Maximum Brightness, Full sRGB Standard, Finger Print Resistant Oleophobic Coating","Mobile Network, Multiple Languages and Characters Support, Built-in Speaker, Microphones, Lightning Connector, External Buttons and Connectors: Touch ID Sensor, Volume Up / Down, Ring / Silent, On / Off or Sleep / Wake, Calendar, Notes, Reminders, Clock, Calculator, AirPlay Mirroring Photos, Audio and Video Out to Apple TV (2nd Generation), Video Mirroring and Video Out Support, Location: Mobile Data, iBeacon Micro-location, FaceTime Video Calling, Audio Calling - FaceTime Audio, Wi-Fi Calling, Multi-tasking, Quick Type Keyboard, Spotlight Search, Dictionary Support, Spell Check, Air Drop, Air Play, Air Print, Control Centre, Handoff, Homekit, iCloud Keychain, iCloud Drive, Notification Centre, Siri",Yes,,Safari,Yes,12MP,Yes,"iSight Camera, 1.22 µ Pixels, Live Photos, Auto Focus, Focus Pixels, Panorama (Upto 63 MP), Auto HDR for Photos, Exposure Control, Burst Mode, Timer Mode, f/2.2 Aperture, Five-element Lens, Hybrid IR Filter, Backside Illumination Sensor, Sapphire Crystal Lens Cover, Auto Image Stabilisation, Improved Local Tone Mapping, Improved Noise Reduction, Face Detection, Photo Geo-tagging, Slow-motion Video, Time-lapse Video with Stabilisation, Cinematic Video Stabilisation, Continuous Auto Focus Video, Take Still Photos While Recording Video, Playback Zoom, Zoom - 3x, Video Geo-tagging",,,Apple A9 64-bit processor and Embedded M9 Motion Co-processor,,,No,1136 x 640 Pixels,Retina Display,,,Nano SIM,Single Sim,Yes,,1.2MP,Yes,"HD Video Recording, Retina Flash, f/2.4 Aperture, Auto HDR for Photos, Backside Illumination Sensor, Exposure Control, Improved Local Tone Mapping, Burst Mode, Timer Mode, Face Detection",,"Three-axis Gyro Sensor, Touch ID Fingerprint Sensor, Proximity Sensor, Ambient Light Sensor, Accelerometer, Digital Compass",,Yes,,,,,Multi-language Support,,4G LTE,,,,Yes,,Yes,,,,,,"H.264, MP4, MOV, M4V, AAC-LC, MPEG4, AVI, MJPEG, PCM",Yes,3840 x 2160,Yes,,,,Brand Warranty of 1 Year,113 g,Yes,,802.11 a/b/g/n/ac,58.6 mm,https://www.flipkart.com/apple-iphone-se-space-grey-32-gb/p/itmetm9fypda5rfs?pid=MOBETM9FZWW5UEZG&srno=s_3_10&otracker=search&lid=LSTMOBETM9FZWW5UEZGJKPO31&fm=organic&iid=8c6cc523-ee72-4e78-8de3-93bf2ce628e0.MOBETM9FZWW5UEZG.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/apple-iphone-se-space-grey-32-gb/product-reviews/itmetm9fypda5rfs?pid=MOBETM9FZWW5UEZG
